Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package
1,"The Utility of Explainable AI in Ad Hoc
Human-Machine Teaming",https://arxiv.org/pdf/2209.03943.pdf,6,https://doi.org/10.1007/978-1-4419-1005-9_1226,DOI: Springer,,References,working,,,paper,
,,,,https://proceedings.neurips.cc/paper/2003/file/,Page not found,,References,not working,,,,
,,,,https://proceedings.neurips.cc/paper/2018/,Page not found,,References,working,,,,
,,,,https://doi. org/10.1002/9781118909997.ch16,Wiley online lib,,References,working,,,paper,
,,,,https://github.com/CORE-Robotics-Lab/Utility-of-Explainable-AI-NeurIPS2021,Github link related project,GitHub,References,working,Y,,code,
,,,,https://doi.org/10.1007/978-1-4419-1005-9_1226,Springer link,,References,working,,,paper,
2,The Users Arenâ€™t Alright: Dangerous Mental Illness Behaviors and Recommendations,https://arxiv.org/pdf/2209.03941.pdf,5,https://doi.org/10.1145/nnnnnnn.nnnnnnn,DOI link,,Header page note,not working,,,blog,
,,,,https://www.bbc.com/news/blogs-trending-46505722,News link,,References,working,,,blog,
,,,,https://www.fda.gov/food/information-consumers-using-dietary-supplements/questions-and-answers-dietary-supplements,News info,,References,working,,,blog,
,,,,https://www.cagoldberglaw.com/c-a-goldberg-pllc-and-fury-duarte-file-lawsuit-against-amazon-for-selling-suicide-powder/,News Info,,References,working,,,blog,
,,,,https://www.nytimes.com/2022/02/,News Info,,References,working,,,blog,
3,Participant Perceptions of a Robotic Coach Conducting Positive Psychology Exercises: A Systematic Analysis,https://arxiv.org/pdf/2209.03827.pdf,23,https://doi.org/XXXXXXX.XXXXXXX,DOI link,,Header page note,not working,,,organization,
,,,,https://www.softbankrobotics.com/emea/en/pepper,SoftBank robotics website,,Footer page note,working,,,organization,
,,,,http://wiki.ros.org/melodic,,,Footer page note,,,,organization,
,,,,http://doc.aldebaran.com/2-5/naoqi/audio/altexttospeech.html,SoftBank robotics website,,Footer page note,working,,,organization,
,,,,http://doc.aldebaran.com/2-4/software/choregraphe/index.html,SoftBank robotics website,,Footer page note,working,,,organization,
,,,,https://github.com/opencv/opencv,Github link,GitHub,Footer page note,working,Y,,code,
,,,,http://wiki.ros.org/smach,ROS wiki page,,References,working,,,organization,
,,,,https://doi.org/10.1145/3125739.3125756,Paper publication,,References,working,,,paper,
,,,,https://www.oracle.com/news/announcement/ai-at-work-100720.html,News link,,References,working,,,blog,
,,,,https://doi.org/10.1348/0144665031752934,Springer Link,,References,working,,,paper,
,,,,https://doi.org/10.1109/ROMAN.2004.1374720,Springer Link,,References,working,,,paper,
,,,,https://doi.org/10.1007/s12369-017-0439-2,Springer link,,References,working,,,paper,
,,,,https://doi.org/10.1145/2909824.3020217,ACM DL paper,,References,working,,,paper,
,,,,https://doi.org/10.1109/T-AFFC.2012.16,Springer Link,,References,working,,,paper,
,,,,https://doi.org/10.1007/978-94-007-7194-9_136-1,ACM DL paper,,References,working,,,paper,
,,,,https://doi.org/10.1214/aoms/1177730491,Springer Link,,References,working,,,paper,
,,,,https://doi.org/10.1007/s10846-015-0259-2,Springer Link,,References,working,,,paper,
,,,,https://doi.org/10.1007/978-94-007-7194-9_130-1,Springer Link,,References,working,,,paper,
,,,,https://www.nhs.uk/mental-health/self-help/tips-and-support/mindfulness/,Springer Link,,References,working,,,paper,
,,,,https://doi.org/10.1109/TAFFC.2018.2874986,IEEE paper publication,,References,working,,,paper,
,,,,https://doi.org/10.1109/RO-MAN50785.2021.9515558,ACM DL paper,,References,working,,,paper,
,,,,https://doi.org/10.1016/0921-8890(95)00004-Y,Springer Link,,References,working,,,paper,
,,,,https://github.com/Uberi/speech_recognition,Github link on related paper,GitHub,References,working,Y,,code,
4,IMAP: Individual huMAn mobility Patterns visualizing platform,https://arxiv.org/pdf/2209.03615.pdf,3,https://doi.org/10.1145/3495243.3558759,DOI link,,Footer note,not working,,,paper,
,,,,https://doi.org/10.1145/3495243.3558759,DOI link,,Below keywords,not working,,,paper,
,,,,https://youtu.be/94bHbmBLXTs,Youtube link,,Demo setup,working,,,organization,
5,PMU Tracker: A Visualization Platform for Epicentric Event Propagation Analysis in the Power Grid,https://arxiv.org/pdf/2209.03514.pdf,2,https://www.nytimes.com/2018/12/27/nyregion/blue-sky-queens-explosion.html,NY times: News,,References,working,,,blog,
,,,,https://www.eia.gov/todayinenergy/detail.php?id=5630,My times : News,,References,working,,,blog,
6,ESSYS* Sharing #UC: An Emotion-driven Audiovisual Installation,https://arxiv.org/pdf/2209.03338.pdf,10,http://sharing-uc.dei.uc.pt/,Online sharing link,,Introduction,working,,,blog,
,,,,https://0.0.7.223/,IP address,,footer note,working,,,blog,
,,,,https://cdv.dei.uc.pt/essys_sharing_uc,EEYS paper related video link,,Method,working,,,blog,
,,,,https://www.ibm.com/cloud/watson-language-translator,IBM API,,Figure caption,working,,,organization,
,,,,https://cdv.dei.uc.pt/essys_sharing_uc,Demonstration video,,Figure caption,working,,,organization,
,,,,https://cdv.dei.uc.pt/essys_sharing_uc,Demonstration video,,Figure caption,working,,,organization,
,,,,https://www.syedrezaali.com/,REZAALI website,,References,working,,,organization,
,,,,http://artsites.ucsc.edu/faculty/cope/experiments.htm,,,References,working,,,organization,
,,,,https://brian-eno.net/reflection/index.html,Website,,References,working,,,organization,
,,,,https://datadrivendj.com/tracks/refugees/,DataDriven website,,References,working,,,organization,
7,Semantic Interactive Learning for Text Classification: A Constructive Approach for Contextual Interactions,https://arxiv.org/pdf/2209.02984.pdf,1,https://github.com/sb1990gtr/Semantic-Interactive-ML,Github link,GitHub,Reproducibility,working,Y,Y,code,Y
8,Taking a Language Detour: How International Migrants Speaking a Minority Language Seek COVID-Related Information in Their Host Countries1,https://arxiv.org/ftp/arxiv/papers/2209/2209.02903.pdf,1,https://doi.org/10.1145/3555600,ACM Reference,,Below keywords,working,,,paper,
9,Make Acoustic and Visual Cues Matter: CH-SIMS v2.0 Dataset and AV-Mixup Consistent Module,https://arxiv.org/pdf/2209.02604.pdf,5,https://github.com/thuiar/ch-sims-v2,Github link,GitHub,Abstract,working,Y,Y,code,Y
,,,,https://doi.org/10.1145/3536221.3556630,ACM DL link,,Footer page note,working,,,paper,
,,,,https://potplayer.daum.net/,Potplayer website,,Footer page note,working,,,organization,
,,,,https://huggingface.co/bert-base-chinese,Hugging face link,,Footer page,working,,Y,code,
,,,,https://arxiv.org/abs/2005.03545,Arxiv page link,,References,working,,,paper,
10,Cognitive Assistance for Inquiry-Based Modeling,,1,https://eol.org/,Encyclopedia link,,Introduction,working,,,organization,
11,Taking Advice from (Dis)Similar Machines: The Impact of Human-Machine Similarity on Machine-Assisted Decision-Making,https://arxiv.org/pdf/2209.03821.pdf,2,https://www.propublica.org/article/machine-bias-risk-assessments-in-criminal-sentencing,Propublica website,,References,working,,,organization,
,,,,https://nips.cc/virtual/2021/invited-talk/22284,NIPS website,,References,working,,,organization,
12,Self-Supervised Multimodal Fusion Transformer for Passive Activity Recognition,https://arxiv.org/pdf/2209.03765.pdf,10,https://doi.org/10.1145/1925861.1925870,ACM DL paper link,,References,working,,,paper,
,,,,http://doi.acm.org/10.1145/2789168.2790124,DOI paper link,,References,working,,,paper,
,,,,https://hal.archives-ouvertes.fr/hal-03323359,HAL archive paper link,,References,working,,,paper,
,,,,https://openreview.net/forum?id=p-BhZSz59o4,OpenReview paper link,,References,working,,,paper,
,,,,https://openreview.net/forum?id=LtKcMgGOeLt,OpenReview paper link,,References,working,,,paper,
,,,,https://openreview.net/forum?id=6Tm1mposlrM,OpenReview paper link,,References,working,,,paper,
,,,,https://doi.org/10.1038/s41597-022-01573-2,DOI paper link,,References,working,,,paper,
,,,,https://arxiv.org/abs/1701.01887,Arxiv page link,,References,working,,,paper,
,,,,https://openreview.net/forum?id=4nPswr1KcP,OpenReview paper link,,References,working,,,paper,
,,,,https://arxiv.org/abs/2104.09072,Arxiv page link,,References,working,,,paper,
13,Capturing Dependencies within Machine Learning via a Formal Process Model,https://arxiv.org/pdf/2208.05219.pdf,5,https://www.siemens.com/,Siemens homepage,,Footer of page,working,,,,
,,,,https://www.swm.de/,SWM webpage,,Footer of page,working,,,,
,,,,https://www.swebok.org/,IEEE computer society webpage,,References,working,,,,
,,,,https://www-03.ibm.com/autonomic/pdfs/AC%20Blueprint%20White%20Paper%20V7.pdf,IBM website,,References,working,,,,
,,,,https://www.alignmentforum.org/posts/GzoWcYibWYwJva8aL,AI alignment forum on paper,,References,working,,,,
14,Exploring the trade off between human driving imitation and safety for traffic simulation,https://arxiv.org/pdf/2208.04803.pdf,6,https://arxiv.org/abs/2112.05077,Arxiv paper link,,References,working,,,,
,,,,https://arxiv.org/abs/2109.12674,Arxiv paper link,,References,working,,,,
,,,,https://arxiv.org/abs/2102.09243,Arxiv paper link,,References,working,,,,
,,,,https://arxiv.org/abs/2201.12819,Arxiv paper link,,References,working,,,,
,,,,http://arxiv.org/abs/1710.11248,Arxiv paper link,,References,working,,,,
,,,,http://arxiv.org/abs/1810.04650,Arxiv paper link,,References,working,,,,
15,Multi-agent reinforcement learning for intent-based service assurance in cellular networks,https://arxiv.org/pdf/2208.03740.pdf,2,https://www.ericsson.com/4abd97/assets/local/reports-papers/ericsson-technology-review/docs/2020/adaptive-intent-based-networking.pdf,Ericson website,,References,working,,,,
,,,,https://www.tmforum.org/resources/how-to-guide/ig1253-intent-in-autonomous-networks-v1-1-0/,TM Forum webpage,,References,working,,,,
16,Human Decision Makings on Curriculum Reinforcement Learning with Difficulty Adjustment,https://arxiv.org/pdf/2208.02932.pdf,1,https://bit.ly/372vCNv,Demo executable video also Github code,GitHub,Abstract,working,Y,Y,code,Y
17,LaTTe: Language Trajectory TransformEr,https://arxiv.org/pdf/2208.02918.pdf,6,https://github.com/arthurfenderbucker/NL_trajectory_reshaper,Github code,GitHub,Abstract,working,Y,Y,code,Y
,,,,http://dx.doi.org/10.24963/ijcai.2018/3,DOI paper link,,References,working,,,,
,,,,https://doi.org/10.1177/0278364915581193,DOI paper link,,References,working,,,,
,,,,http://dx.doi.org/10.1109/CVPR.2018.00387,IEEE paper link,,References,working,,,,
,,,,http://dx.doi.org/10.1109/CVPR42600.2020.01315,IEEE paper link,,References,working,,,,
,,,,http://dx.doi.org/10.1109/CVPR.2019.00689,IEEE paper link,,References,working,,,,
18,Act-Aware Slot-Value Predicting in Multi-Domain Dialogue State Tracking,https://arxiv.org/pdf/2208.02462.pdf,1,https://github.com/youlandasu/ACT-AWARE-DST,Github code,GitHub,Abstract,working,Y,Y,code,Y
19,Zero-Shot Style Transfer for Gesture Animation driven by Text and Speech using Adversarial Disentanglement of Multimodal Style Encoding,https://arxiv.org/pdf/2208.01917.pdf,3,https://chahuja.com/pats/,PATS dataset webpage link,PATS,Footer page,working,Y,,,
,,,,https://www.mixamo.com/,Mixamo webpage,,Footer page,working,,,,
,,,,http://users.ics.forth.gr/argyros/res_mocapnet.html,Antoni argryos,,References,working,,,author,
20,Exploring Gender Bias in Retrieval Models,https://arxiv.org/pdf/2208.01755.pdf,1,https://doi.org/10.18653/v1/D18-1521,DOI link to paper,,References,working,,,,